flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2893.0,2803.0,2871.0,3119.0,3024.0,0.991943,-0.051697,-0.115295,0.000916,-1.0,-1.0,-1.0,2013.0,-895.0,7765.0,139.0,-53.0,-164.0,172.0,-67.0,-121.0,0.228638,-0.102772,0.967987,4082.0,-1792.0,15500.0,-5.0,0.0,-7.0
2895.0,2803.0,2843.0,3121.0,3027.0,0.991943,-0.051758,-0.115417,0.000854,-1.0,0.0,-1.0,2011.0,-894.0,7762.0,135.0,-51.0,-167.0,169.0,-65.0,-125.0,0.228887,-0.102879,0.967952,4002.0,-1756.0,15498.0,-5.0,2.0,-9.0
2895.0,2807.0,2875.0,3121.0,3023.0,0.991943,-0.05188,-0.11554,0.000793,-1.0,-1.0,-1.0,2011.0,-901.0,7752.0,133.0,-56.0,-177.0,169.0,-72.0,-135.0,0.229135,-0.103107,0.967911,4042.0,-1844.0,15514.0,-4.0,0.0,-7.0
2893.0,2807.0,2875.0,3120.0,3025.0,0.991882,-0.05188,-0.115662,0.000732,-1.0,-1.0,-1.0,2018.0,-905.0,7754.0,139.0,-60.0,-173.0,174.0,-75.0,-129.0,0.229369,-0.103087,0.967762,4058.0,-1834.0,15544.0,-1.0,0.0,-4.0
2893.0,2807.0,2873.0,3120.0,3024.0,0.991882,-0.052002,-0.115845,0.000732,-1.0,-1.0,0.0,2015.0,-906.0,7746.0,133.0,-59.0,-181.0,170.0,-75.0,-138.0,0.229732,-0.103329,0.967707,4020.0,-1804.0,15456.0,0.0,0.0,0.0
2896.0,2806.0,2869.0,3123.0,3027.0,0.991882,-0.052002,-0.115906,0.000732,-1.0,-1.0,0.0,2020.0,-908.0,7739.0,137.0,-61.0,-188.0,175.0,-78.0,-144.0,0.229854,-0.103329,0.967693,4078.0,-1816.0,15428.0,-1.0,-2.0,1.0
2891.0,2807.0,2875.0,3121.0,3023.0,0.991821,-0.052124,-0.116089,0.000732,-1.0,-1.0,0.0,2018.0,-905.0,7738.0,132.0,-56.0,-187.0,170.0,-73.0,-144.0,0.230202,-0.103565,0.967516,4054.0,-1792.0,15472.0,-1.0,-1.0,0.0
2895.0,2806.0,2871.0,3123.0,3025.0,0.991821,-0.052124,-0.116211,0.000732,0.0,-1.0,0.0,2014.0,-895.0,7731.0,126.0,-46.0,-194.0,166.0,-64.0,-153.0,0.230445,-0.103566,0.967488,4020.0,-1744.0,15418.0,1.0,-1.0,1.0
2894.0,2806.0,2869.0,3121.0,3023.0,0.991821,-0.052185,-0.116333,0.000793,0.0,-1.0,0.0,2006.0,-893.0,7726.0,116.0,-43.0,-199.0,158.0,-61.0,-161.0,0.23068,-0.103701,0.967453,3976.0,-1804.0,15448.0,2.0,0.0,3.0
2895.0,2805.0,2871.0,3121.0,3026.0,0.991821,-0.052185,-0.116394,0.000793,-1.0,-1.0,0.0,2004.0,-895.0,7734.0,113.0,-45.0,-191.0,153.0,-62.0,-154.0,0.230801,-0.103701,0.967439,3986.0,-1792.0,15490.0,-1.0,-1.0,2.0
2896.0,2815.0,2875.0,3127.0,3025.0,0.99176,-0.052185,-0.116516,0.000854,0.0,0.0,0.0,2028.0,-915.0,7709.0,135.0,-65.0,-215.0,180.0,-84.0,-170.0,0.231023,-0.103709,0.96729,4172.0,-1954.0,15178.0,22.0,13.0,6.0
